key,enabled,identity,password,username
user-account-manager-17,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager22,manager22
user-account-manager-23,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager23,manager23
user-account-manager-24,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager24,manager24
user-account-manager-25,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager25,manager25
user-account-manager-26,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager26,manager26
user-account-manager-27,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager27,manager27
user-account-manager-28,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager28,manager28
user-account-manager-29,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager29,manager29
user-account-manager-30,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager30,manager30
user-account-manager-31,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager31,manager31
user-account-manager-32,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager32,manager32
user-account-manager-33,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",manager33,manager33
user-account-sponsor-01,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Pedro', surname: 'Ruiz', email: 'pedruiagu1@acme.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor10,sponsor10
user-account-sponsor-11,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor11,sponsor11
user-account-sponsor-12,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor12,sponsor12
user-account-sponsor-13,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor13,sponsor13
user-account-sponsor-14,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor14,sponsor14
user-account-sponsor-15,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor15,sponsor15
user-account-sponsor-16,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor16,sponsor16
user-account-sponsor-17,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor17,sponsor17
user-account-sponsor-18,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor18,sponsor18
user-account-sponsor-19,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor19,sponsor19
user-account-sponsor-20,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor20,sponsor20
user-account-sponsor-21,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor21,sponsor21
user-account-sponsor-22,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor22,sponsor22
user-account-sponsor-23,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor23,sponsor23
user-account-sponsor-24,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor24,sponsor24
user-account-sponsor-25,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor25,sponsor25
user-account-sponsor-26,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor26,sponsor26
user-account-sponsor-27,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor27,sponsor27
user-account-sponsor-28,true,"UserIdentity{name: 'Ismael', surname: 'Ruiz', email: 'ismruijur@acme.com'}",sponsor28,sponsor28
user-account-client-01,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client2,client2
user-account-client-03,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client3,client3
user-account-client-04,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client4,client4
user-account-client-05,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client5,client5
user-account-client-06,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client6,client6
user-account-client-07,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client7,client7
user-account-client-08,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client8,client8
user-account-client-09,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client9,client9
user-account-client-10,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client10,client10
user-account-client-11,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client11,client11
user-account-client-12,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client12,client12
user-account-client-13,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client13,client13
user-account-client-14,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client14,client14
user-account-client-15,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client15,client15
user-account-client-16,true,"UserIdentity{name: 'juan antonio', surname: 'moreno', email: 'juamormog@acme.com'}",client16,client16
user-account-developer-01,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer2,developer2
user-account-developer-03,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer3,developer3
user-account-developer-04,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer4,developer4
user-account-developer-05,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer5,developer5
user-account-developer-06,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer6,developer6
user-account-developer-07,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer7,developer7
user-account-developer-08,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer8,developer8
user-account-developer-09,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer9,developer9
user-account-developer-10,true,"UserIdentity{name: 'diego', surname: 'manzanos', email: 'diemanane@acme.com'}",developer10,developer10
